City,ZipCode,Population,$ IncomePerHousehold,Transport_tCO2e_yr,Food_tCO2e_yr,Total_tCO2e_yr
LOS ANGELES,90001,54481,24207,10.21885308,13.05,38.88819602
LOS ANGELES,90002,44584,22872,10.01898934,12.48,38.35177649
LOS ANGELES,90003,58187,22346,9.456838891,12,36.93619097
LOS ANGELES,90004,67850,27591,9.204517957,8.73,32.24308706
LOS ANGELES,90005,43014,21998,7.551197295,8.4,28.87668139
LOS ANGELES,90006,62765,20593,7.575730137,9.93,30.78272674
LOS ANGELES,90007,45021,17644,7.561491948,9.21,29.7820598
LOS ANGELES,90008,30840,30472,10.20943568,6.84,33.44827327
LOS ANGELES,90010,1943,32083,10.19186654,6.06,30.75108111
LOS ANGELES,90011,101214,23851,8.77196956,13.95,38.20410976
LOS ANGELES,90012,30577,20152,6.821837546,6.96,26.4078052
LOS ANGELES,90013,9727,8855,4.375041774,3.87,17.88208644
LOS ANGELES,90014,3518,8633,4.342499179,3.69,17.24927044
LOS ANGELES,90015,15134,18533,6.763573292,8.88,28.06528854
LOS ANGELES,90016,46968,29079,10.76082425,8.55,35.47882289
LOS ANGELES,90017,20689,14847,5.181115957,9.18,26.13537118
LOS ANGELES,90018,47127,23797,9.606166297,9.12,33.71663734
LOS ANGELES,90019,67510,31501,10.30582506,8.37,34.66611304
LOS ANGELES,90020,42383,24208,8.361531313,7.47,28.88063655
LOS ANGELES,90021,3003,13053,5.720592076,5.1,21.13025644
LOS ANGELES,90022,68688,27471,10.95952874,11.97,38.88494164
LOS ANGELES,90023,47468,26884,10.64885701,13.17,39.89882733
LOS ANGELES,90024,44141,47573,8.896682539,5.91,32.36284715
LOS ANGELES,90025,41170,47806,7.686714875,5.7,30.84541099
LOS ANGELES,90026,73671,28651,9.57219908,8.88,33.49262403
LOS ANGELES,90027,48715,31820,9.754697507,6.48,31.21799208
LOS ANGELES,90028,30562,21893,7.000266377,6.03,25.58434554
LOS ANGELES,90029,41697,22043,8.308105473,9,30.69222477
LOS ANGELES,90031,38409,25300,10.26581708,11.07,36.51685925
LOS ANGELES,90032,46942,33445,13.17211714,10.92,41.15814702
LOS ANGELES,90033,49418,22429,8.569903177,11.46,34.52876542
LOS ANGELES,90034,58199,37231,11.32549773,6.72,34.11505434
LOS ANGELES,90035,27792,50014,12.78004193,6.33,37.97059266
LOS ANGELES,90036,32885,47746,10.93664663,5.67,34.55627504
LOS ANGELES,90037,56691,20275,8.339841651,11.31,34.19012453
LOS ANGELES,90038,32557,23306,8.23911521,7.95,29.56391018
LOS ANGELES,90039,29306,45615,13.69026888,7.62,39.75685586
LOS ANGELES,90040,9798,35205,14.10227365,11.04,42.69633441
LOS ANGELES,90041,27864,48439,15.03771942,8.46,42.79180219
LOS ANGELES,90042,64660,36064,12.67850727,9.81,39.48259193
LOS ANGELES,90043,44761,34069,11.5307899,8.43,37.68985597
LOS ANGELES,90044,87366,22091,9.229081233,10.65,35.11772444
LOS ANGELES,90045,39315,56566,15.22352851,7.14,43.03517072
LOS ANGELES,90046,49831,37398,9.496393512,5.16,30.37087932
LOS ANGELES,90047,47105,35142,12.31507537,9.03,39.6644007
LOS ANGELES,90048,21724,47185,10.79847896,5.22,33.78999846
LOS ANGELES,90049,33520,84342,14.93545201,5.97,45.33560637
LOS ANGELES,90056,8108,72193,18.18635148,7.08,49.46805731
LOS ANGELES,90057,43986,19736,6.738371848,8.7,27.95054788
LOS ANGELES,90058,3624,18729,8.198575879,10.92,32.80691593
LOS ANGELES,90059,38123,22151,10.16175711,12.12,38.13837015
LOS ANGELES,90061,24503,26449,10.87695859,11.61,38.90963387
LOS ANGELES,90062,29279,26901,10.2733537,9.93,36.41440749
LOS ANGELES,90063,55666,30174,11.61399588,12.78,41.082269
LOS ANGELES,90064,24489,59923,12.45022355,6.69,40.18086316
LOS ANGELES,90065,47524,38271,13.07574585,9.9,40.61311963
LOS ANGELES,90066,55194,45089,12.89342304,7.08,38.0103789
LOS ANGELES,90067,2524,74830,10.41439852,4.77,36.9201414
LOS ANGELES,90068,21713,52890,12.70231183,5.22,36.80537439
WEST HOLLYWOOD,90069,20395,51215,8.295743434,4.5,30.57877426
LOS ANGELES,90077,10465,141527,26.79264951,7.41,70.45686697
BELL,90201,105275,30029,12.01902058,13.08,41.502554
BEVERLY HILLS,90210,21396,112572,18.47043066,7.41,57.04126854
BEVERLY HILLS,90211,8313,57746,13.64151573,6.66,40.30308261
BEVERLY HILLS,90212,11347,61039,9.418398637,5.97,35.75492534
COMPTON,90220,47303,33997,12.8956996,11.49,42.3713023
COMPTON,90221,51382,31310,13.04582696,13.71,44.23999813
COMPTON,90222,29823,29520,12.10692818,12.45,41.61898088
CULVER CITY,90230,31945,51275,14.04044921,7.38,40.73552578
CULVER CITY,90232,15175,46121,12.57185036,7.08,38.11959718
DOWNEY,90240,24891,55492,18.28015147,9.48,49.35045417
DOWNEY,90241,40138,43557,15.10495378,8.7,42.3652012
DOWNEY,90242,42444,42956,15.73026399,9.9,44.15005385
EL SEGUNDO,90245,16033,61341,15.98057886,6.81,43.54158162
GARDENA,90247,47741,35101,11.91906275,8.79,37.17234311
GARDENA,90248,9944,43125,15.84710768,8.97,43.67649751
GARDENA,90249,26433,44451,14.78140158,8.85,42.39562774
HAWTHORNE,90250,93314,33656,11.84740287,8.85,36.98787212
HERMOSA BEACH,90254,18682,81352,18.10121935,5.85,47.36899687
HUNTINGTON PARK,90255,78104,30375,11.19601744,12.57,39.96235674
LAWNDALE,90260,33299,41404,14.08627933,9.93,42.26478025
LYNWOOD,90262,69830,35846,14.16190617,14.1,46.06984294
MALIBU,90265,19614,100857,20.98778575,7.17,56.51931695
MANHATTAN BEACH,90266,33742,100761,19.94890827,7.02,54.98062549
MAYWOOD,90270,28083,30480,11.97536118,12.99,41.28470418
PACIFIC PALISADES,90272,22538,122877,22.49357806,7.35,62.37981018
PALOS VERDES PENINSULA,90274,24976,117979,26.29847062,7.98,66.56453813
RANCHO PALOS VERDES,90275,41261,95643,23.50185732,7.98,59.77142794
REDONDO BEACH,90277,34174,68263,16.12658792,6,43.48328073
REDONDO BEACH,90278,37316,69614,17.45541024,7.23,47.22359806
SOUTH GATE,90280,96260,35744,13.71618753,12.45,43.53218764
TOPANGA,90290,5441,88661,23.84781909,7.35,57.05520124
VENICE,90291,31018,45769,11.70469291,5.94,35.28108447
MARINA DEL REY,90292,18057,72215,14.06722607,4.95,40.0830723
PLAYA DEL REY,90293,11252,66425,16.60268984,5.46,42.75827831
INGLEWOOD,90301,37507,31306,10.99898744,9.18,36.14663005
INGLEWOOD,90302,30770,32698,11.48309405,8.28,36.0709704
INGLEWOOD,90303,27773,34751,12.58338502,10.98,41.14081413
INGLEWOOD,90304,28679,29036,11.4777292,13.14,40.77830537
INGLEWOOD,90305,13763,45711,14.23354032,7.32,41.40336363
SANTA MONICA,90401,5201,36461,8.184168861,4.32,27.41719963
SANTA MONICA,90402,11492,118553,20.72450033,6.93,59.17277384
SANTA MONICA,90403,23556,54964,11.73803226,5.01,35.37471458
SANTA MONICA,90404,19956,39821,10.66512203,6.12,33.31866263
SANTA MONICA,90405,26089,50540,11.15442976,5.43,34.84595746
TORRANCE,90501,40697,42117,14.05896104,8.76,40.73731743
TORRANCE,90502,17038,48601,15.7129404,8.76,43.73846035
TORRANCE,90503,41970,58127,15.88036863,7.41,43.66920329
