ZIP,date,Number of returns,Paid Preparer Helped,Number of exemptions,Number of dependents,Number of Salaries in AGI,Number of farm returns,Net capital gain (less loss) in AGI,Unemployment compensation,Social Security benefits in AGI,Taxes paid,Total tax credits,Residential energy credit,Alternative minimum tax,Overpayments refunded,Additional Medicare tax
90001,2010,20342,16680,53836,23654,17343,0,194,2400,308,2754,6890,96,41,18401,0
90002,2010,18126,14105,46213,20375,15191,0,150,2010,306,2875,6270,120,21,16527,0
90003,2010,25160,19199,64051,28162,20994,0,208,2593,434,3298,8356,129,35,22799,0
90004,2010,26101,19452,51550,17044,20881,0,2452,2563,1185,5405,7104,168,1027,20066,0
90005,2010,14366,10575,29816,10448,11695,0,841,1157,370,2141,3483,44,246,11283,0
90006,2010,21578,17114,48381,18868,17483,0,481,1754,379,1949,5592,60,63,17665,0
90007,2010,12539,8449,25425,9468,10639,0,275,1134,229,2047,3553,56,49,10655,0
90008,2010,14853,9751,27776,9291,11551,0,900,1566,1449,4702,4300,238,336,11982,0
90010,2010,2174,1676,3762,960,1481,0,522,120,146,959,516,0,204,1371,0
90011,2010,36032,29862,101659,46652,31180,0,241,3367,348,3774,11432,121,50,32521,0
90012,2010,9348,5927,15974,4071,7692,0,1017,1010,469,2048,2080,95,199,7228,0
90013,2010,4200,2175,5347,608,3510,0,549,409,69,1417,826,46,183,3285,0
90014,2010,3654,1860,4788,631,3111,0,325,368,52,1095,686,83,103,2802,0
90015,2010,7369,5454,15108,5423,6234,0,565,674,97,1610,1865,30,260,5994,0
90016,2010,21306,15407,44411,16454,17413,0,897,2283,1155,5535,7110,272,165,17693,0
90017,2010,7881,5639,16260,5941,6633,0,535,635,142,1283,1866,51,250,6359,0
90018,2010,20621,15507,43587,16691,16856,0,551,2137,875,4225,6520,159,117,17360,0
90019,2010,27788,20171,54170,17901,22486,0,2089,3039,1463,6921,7669,284,681,21695,0
90020,2010,16140,11551,31124,9691,13220,0,1065,1301,459,2602,4139,51,301,12435,0
90021,2010,1336,917,2390,758,1083,0,146,127,26,356,294,0,56,1001,0
90022,2010,25825,20126,65741,27749,22327,0,398,3196,736,3955,9025,198,65,22762,0
90023,2010,17645,14565,46859,20611,15486,0,189,1839,339,1908,6098,107,39,15789,0
90024,2010,15163,10107,23265,4509,10972,28,5856,963,2483,8101,4416,191,2570,10056,0
90025,2010,25568,14961,39768,8129,21092,0,6470,2327,1979,10348,6416,345,2246,18694,0
90026,2010,30142,21298,54965,16904,25239,0,2404,4054,1108,6891,7827,294,623,23792,0
90027,2010,23657,15028,36134,7330,19322,0,3445,3228,1396,7105,5095,268,1223,17547,0
90028,2010,14186,8423,21099,4439,12177,0,961,1945,293,2624,2702,90,244,11111,0
90029,2010,16709,12098,33131,11136,13741,0,713,1753,514,2387,4346,97,163,13451,0
90031,2010,15508,12117,34660,13264,13252,0,679,2078,440,2532,4714,165,92,13181,0
90032,2010,18500,13682,40718,15373,15704,0,797,2465,846,4378,6457,305,130,15637,0
90033,2010,16153,13299,40832,17548,13706,0,301,1815,413,1853,5128,118,42,14193,0
90034,2010,29234,17200,50170,13049,24969,0,4023,3235,1430,8281,8163,314,1019,22217,0
90035,2010,13829,9228,24372,6760,10649,0,3585,1608,1329,5925,3824,212,1163,9483,0
90036,2010,19013,12187,30030,6765,15410,0,4069,2379,1359,7705,4599,166,1471,13275,0
90037,2010,22940,18137,55515,24172,19072,0,225,2290,431,3184,7300,153,32,20286,0
90038,2010,12677,8871,23984,7834,10817,0,650,1476,275,1866,3077,67,159,10245,0
90039,2010,14843,10342,25834,6822,12199,0,2144,2136,1144,5596,4193,270,694,11260,0
90040,2010,5183,3951,12249,4977,4462,0,161,753,234,1209,1992,67,54,4449,0
90041,2010,12628,8738,23813,7126,10425,0,1524,1581,1110,4905,3933,286,426,9644,0
90042,2010,25942,19095,53422,18819,21808,0,1751,3375,1226,7280,8358,381,364,21271,0
90043,2010,20679,14329,40479,14327,16539,0,1050,2292,1868,7289,6766,459,365,17028,0
90044,2010,34234,25703,79847,33035,28326,0,390,3534,1175,5950,11449,258,87,30444,0
90045,2010,17956,11319,32925,8927,14462,0,4125,1858,2090,8828,5880,493,1553,13030,0
90046,2010,27242,17294,35436,4388,22286,0,5325,4134,1605,10783,5298,363,2008,19028,0
90047,2010,22959,16143,46029,16755,18692,0,681,2417,1884,7217,7944,362,140,19526,0
90048,2010,12996,8935,18557,3069,10048,0,3407,1601,1169,6071,2784,156,1380,8711,0
90049,2010,18491,13597,30051,6394,13121,32,8609,1439,3298,11129,5859,338,4046,11972,0
90056,2010,4669,3209,8312,2340,3400,0,835,448,864,2512,1344,140,426,3271,0
90057,2010,13691,10458,29896,11487,11401,0,338,1176,272,1216,3493,59,49,11275,0
90058,2010,1379,1112,3535,1582,1133,0,67,124,35,182,375,0,23,1192,0
90059,2010,15329,11614,37821,16296,12946,0,171,1612,342,2776,5298,143,36,13977,0
90061,2010,10876,8212,26383,10844,9236,0,157,1201,348,2009,3737,90,34,9775,0
90062,2010,13241,10045,29010,11626,10965,0,196,1369,530,2959,4498,110,33,11452,0
90063,2010,19880,16193,50540,21660,17295,0,299,2524,510,3172,6935,169,43,17577,0
90064,2010,13933,9434,24938,6520,10463,0,4669,1293,1850,7278,4370,350,2134,9434,0
90065,2010,20377,15119,42344,14459,16952,0,1988,2641,1401,6471,6491,374,583,16316,0
90066,2010,27926,17847,49498,12793,22288,0,5649,3048,2602,10621,7873,588,1798,20354,0
90067,2010,3123,2794,5096,1066,1865,0,1813,101,892,2343,1210,46,955,2013,0
90068,2010,12175,8311,16949,2355,9556,0,3270,1796,1043,6149,2685,260,1433,8431,0
90069,2010,14201,9550,17490,1710,10985,0,3896,1823,1065,7500,2741,185,1586,9634,0
90077,2010,4072,3287,7702,2048,2672,20,2217,221,929,2790,1488,141,1248,2574,0
90094,2010,2771,1705,4411,770,2383,0,818,311,164,1733,770,20,478,1955,0
90201,2010,35658,29847,95836,42164,30891,0,488,4692,593,4432,13590,168,94,31893,0
90210,2010,9739,8234,17332,4495,6145,0,5037,423,2083,6177,3238,169,2699,6085,0
90211,2010,5244,3864,9261,2563,3729,0,1574,498,605,2491,1455,65,655,3395,0
90212,2010,7717,6063,13070,3429,5505,0,2992,638,1051,4089,2343,101,1313,4924,0
90220,2010,20696,15032,48772,19908,17702,0,389,2414,973,5155,7602,239,95,18238,0
90221,2010,20918,16200,54070,23345,18058,0,240,2487,626,4131,7663,158,59,18867,0
90222,2010,12402,9435,30847,12970,10641,0,160,1389,399,2477,4521,150,32,11186,0
90230,2010,15400,10078,28916,8539,12141,0,3137,1641,1782,7241,4826,440,840,11384,0
90232,2010,8243,5258,14806,4020,6608,0,1626,955,794,3318,2513,138,515,5961,0
90240,2010,11061,8228,24379,8911,8778,0,1164,1174,1064,4434,4040,310,356,8587,0
90241,2010,18904,13973,41196,15383,15531,0,1403,2273,1363,5753,7003,348,350,15150,0
90242,2010,17767,13468,40148,15479,14983,0,974,2193,1071,5485,6871,350,195,14819,0
90245,2010,9463,5825,17531,5117,7863,0,2081,895,898,4601,3046,179,862,6746,0
90247,2010,21452,15539,45701,16124,17985,0,1368,2244,1513,5564,7382,256,174,17747,0
90248,2010,5090,3637,10337,3177,4018,0,504,530,596,1767,1663,91,136,4055,0
90249,2010,12912,9081,26843,9226,10609,0,850,1380,1176,4423,4396,266,157,10658,0
90250,2010,40881,29712,88356,32993,35264,0,2054,4611,1874,10350,15962,502,479,34605,0
90254,2010,10884,6701,17314,3600,8878,0,3554,1122,1008,6146,2970,285,1626,7529,0
90255,2010,29354,24761,78480,33035,25287,0,393,3735,653,4490,10876,199,83,26074,0
90260,2010,14882,10926,33469,12569,12561,0,786,1641,676,3802,5454,162,127,12449,0
90262,2010,26033,21386,67978,29116,22534,0,409,3390,617,5400,10044,259,68,23298,0
90265,2010,7327,5577,13131,3389,4724,44,3267,494,1410,4392,2187,207,1469,4538,0
90266,2010,17001,11813,33514,10200,12697,33,7822,1350,2531,10826,5988,568,4232,10997,0
90270,2010,10280,8700,28542,12277,9069,0,145,1406,164,1479,3839,59,0,9247,0
90272,2010,10531,8425,20677,6065,6692,29,5918,662,2445,7145,3911,353,2990,6403,0
90274,2010,12423,9339,25774,7574,8119,60,6491,580,3412,8448,4647,531,3391,7683,0
90275,2010,18784,12722,39803,12010,13010,41,7844,1112,4738,11703,6842,992,3583,12219,0
90277,2010,19341,12209,32667,7375,15024,24,5743,1870,2515,10373,5479,572,2163,13278,0
90278,2010,19602,11753,37578,10853,16494,0,4784,2288,1670,10340,6546,614,1961,14423,0
90280,2010,37970,31543,95905,40012,32538,0,746,5366,1079,8341,15061,357,151,33428,0
90290,2010,2971,2171,5589,1499,2139,0,1020,336,343,1701,905,121,420,1899,0
90291,2010,14875,10011,22454,4480,11820,0,3340,2056,904,6434,3662,232,1311,10470,0
90292,2010,12655,8423,17777,2206,9688,0,3970,1467,1596,7132,2837,180,1650,8358,0
90293,2010,6962,4250,10250,1580,5677,0,1872,856,782,3864,1676,118,654,4926,0
90301,2010,15676,11823,33881,13082,13301,0,382,1645,597,3206,5778,121,81,13294,0
90302,2010,13333,9360,26814,9778,11373,0,439,1524,593,3440,4848,131,126,11207,0
90303,2010,10924,8510,24655,9807,9056,0,271,1035,646,2678,4035,131,62,9350,0
90304,2010,11281,9342,28274,11971,9603,0,208,1047,236,1624,4132,52,20,9960,0
90305,2010,8147,5184,14981,4885,6150,0,491,773,1027,3688,2508,182,151,6470,0
90401,2010,3995,2343,5471,806,3242,0,1035,399,239,1672,901,22,410,2765,0
90402,2010,5541,4368,10044,2660,3440,0,3037,337,1168,3494,2020,141,1529,3448,0
90403,2010,14085,9096,20896,3784,10706,0,4579,1609,1479,6975,3667,174,1702,9282,0
90404,2010,11041,6704,17820,4363,9184,0,1955,1290,663,3804,2915,113,621,8102,0
90405,2010,15074,9840,23298,4832,11491,0,4460,1785,1492,7207,4101,234,1750,10347,0
90501,2010,18961,13228,41132,14001,15750,0,2202,1921,1584,6573,6465,380,561,15044,0
90502,2010,8311,5798,16835,5257,6987,0,798,926,677,3380,2734,189,176,6512,0
90503,2010,20351,12704,41246,12659,16249,0,4642,1698,2575,9467,7258,597,1321,14805,0
90504,2010,15480,9907,30892,9679,12486,0,2367,1478,1853,6343,5386,519,409,11908,0
90505,2010,17165,10929,34840,10652,13037,22,4371,1445,2670,8053,5895,608,1319,12161,0
90601,2010,13975,9910,28892,9792,11596,0,1528,1777,1500,5777,5038,464,456,10977,0
90602,2010,9980,7230,22335,8581,8725,0,729,1342,655,2963,3736,221,215,8329,0
90603,2010,9021,6216,18831,6234,7303,0,1426,1011,1215,4525,3418,429,385,6899,0
90604,2010,16624,11767,36904,13582,14200,0,1178,2257,1444,6397,6489,572,208,13696,0
90605,2010,17128,12836,40388,15776,14710,0,1208,2330,1154,5924,6673,469,378,14330,0
90606,2010,13724,10279,31765,12454,11945,0,573,1945,856,4449,5487,345,90,11736,0
90620,2010,20432,13602,43656,14989,17164,0,2030,2743,1902,7958,7323,629,369,16216,0
90621,2010,14403,10609,34202,12578,12312,0,1258,1698,822,3891,4940,228,259,11799,0
90623,2010,7092,4696,15094,4965,5628,0,1455,661,1066,3270,2571,275,360,5296,0
90630,2010,22555,14596,47614,15887,18354,0,3914,2507,2865,10178,8226,851,1058,16975,0
90631,2010,29318,20701,65510,23077,24587,53,3572,3404,2842,10940,10440,893,969,23449,0
90638,2010,20724,14157,43604,14349,16764,0,2829,2486,2579,9567,7331,753,602,16025,0
90640,2010,26970,20071,59473,22250,22432,0,1843,3247,2122,7400,9671,501,352,22183,0
90650,2010,43208,32647,102008,39688,37682,0,1832,5967,2373,13737,16979,907,291,36744,0
90660,2010,26987,20254,62333,24612,23166,0,960,3855,1637,8296,10444,597,184,23040,0
90670,2010,6983,4994,15024,5551,5956,0,386,1019,519,2437,2689,194,112,5782,0
90680,2010,12567,9386,29629,10844,10734,0,795,1665,734,3503,4213,241,71,10493,0
90701,2010,7066,5052,15992,5598,5945,0,675,785,520,2072,2463,167,113,5666,0
90703,2010,23446,15394,49748,15804,18479,0,5101,2225,3488,11312,8242,888,1378,16943,0
90706,2010,31444,22525,71020,27327,27238,0,1687,4067,1795,8648,12198,499,343,26443,0
90710,2010,11239,7962,24305,8135,9169,0,1170,1159,1149,4067,3648,245,227,8960,0
90712,2010,14686,9894,30308,9900,12363,0,1820,1725,1533,7205,5522,597,449,11502,0
90713,2010,13182,8611,27164,8696,11060,0,1702,1566,1597,6747,4887,604,375,10340,0
90715,2010,8779,6244,19003,6788,7644,0,629,1122,587,3078,3248,188,135,7146,0
90716,2010,5790,4693,15099,6241,5148,0,140,693,177,1029,1993,52,0,5123,0
90717,2010,9978,6609,19454,6020,8276,0,1263,1097,944,3602,3190,233,252,7870,0
90720,2010,10480,6981,21526,7097,8161,20,2722,992,1653,5020,3823,440,997,7392,0
90723,2010,21612,16844,54369,22849,18836,0,529,2909,673,4677,8647,194,110,19044,0
90731,2010,24462,16948,50441,17269,20525,0,2117,3042,1980,7576,7695,457,571,19606,0
90732,2010,9973,7102,18910,5157,7613,0,2219,964,1849,5453,3153,381,639,7238,0
90740,2010,13102,8616,21638,4152,7716,25,4268,938,3735,6036,3339,433,962,8354,0
90744,2010,20737,16508,55212,22485,18170,0,438,2602,790,4203,7477,198,191,18182,0
90745,2010,25835,19031,57351,20975,22195,0,1461,3246,2002,9367,9624,551,410,21314,0
90746,2010,13042,8736,25515,8349,10623,0,838,1384,1778,6048,4575,405,317,10316,0
90755,2010,5340,3644,10361,3196,4536,0,729,616,415,2309,1760,124,224,4249,0
90802,2010,19039,11090,31417,7666,16748,0,1787,2182,840,5464,5033,194,442,15406,0
90803,2010,17715,11430,26938,4642,13726,0,4924,1719,2634,8935,4805,436,1760,12330,0
90804,2010,17122,11108,34425,11825,15156,0,983,2023,488,3641,5752,161,174,14443,0
90805,2010,37711,27861,90578,36812,33047,0,1148,4749,1384,9200,14651,533,208,33170,0
90806,2010,17456,12606,40568,15891,15038,0,725,1993,705,4118,6429,293,141,15088,0
90807,2010,15943,10504,30522,9323,13216,0,2485,1749,1652,7352,5601,484,746,12192,0
90808,2010,18765,12333,37106,11061,15043,21,3674,2032,2728,10321,6665,991,1013,14007,0
90810,2010,15629,11881,36957,14484,13624,0,576,2052,871,4467,5977,231,133,13475,0
90813,2010,20291,15375,51943,21055,17935,0,367,1960,291,2081,6573,93,58,18352,0
90814,2010,9806,5854,15785,3575,8357,0,1602,1165,744,3845,2851,215,494,7571,0
90815,2010,18519,11897,34722,9835,14644,26,3795,1756,2780,9490,6177,745,973,13701,0
91001,2010,17061,11138,33613,10560,13489,25,3111,1819,2059,8460,5649,721,1295,12897,0
91006,2010,14519,9823,30963,10131,11123,0,4456,1273,1810,6979,5246,486,1399,10373,0
91007,2010,14118,9469,29559,9452,10696,0,4126,1050,1704,5965,4967,429,1101,10010,0
91008,2010,545,377,1075,301,399,0,192,37,90,313,159,0,96,366,0
91010,2010,11484,8101,24741,8704,9649,0,1134,1392,1048,4495,4105,297,191,9372,0
91011,2010,9218,6479,20323,7130,6711,25,4235,522,1609,5829,3579,453,2336,5950,0
91016,2010,18274,12023,36984,11966,15327,0,2564,1950,1566,7323,6089,475,663,14201,0
91020,2010,3457,2318,6762,2121,2818,0,453,363,254,1211,1089,69,98,2547,0
91024,2010,5310,3427,9746,2488,3974,0,1592,458,905,2847,1615,191,619,3660,0
91030,2010,11946,7390,23690,7454,9395,0,3301,1166,1375,5603,4426,339,1352,8419,0
91040,2010,9444,6574,18159,5236,7719,0,1328,1214,983,4387,2865,400,353,7216,0
91042,2010,11961,8419,23676,7151,9829,0,1359,1433,962,4762,3686,415,269,9249,0
91101,2010,9755,5436,15967,3356,8125,0,1795,825,733,3626,2627,119,485,7387,0
91103,2010,11617,7917,24419,8778,9579,0,1488,1031,841,3856,3881,233,627,9618,0
91104,2010,16206,10720,32659,10338,13553,0,2328,1678,1307,6400,5421,452,790,12634,0
91105,2010,6238,4357,10708,2285,4391,26,2732,510,1396,3961,2082,201,1231,4059,0
91106,2010,11615,6824,19910,4915,9623,0,2544,1001,1002,4937,3485,194,918,8717,0
91107,2010,15917,10426,30279,8463,12488,0,3891,1529,2049,7783,5134,532,1390,11415,0
91108,2010,6281,4644,13492,4421,4260,0,3362,268,1131,4004,2512,206,1690,4049,0
91201,2010,10162,7267,20045,6149,8383,0,1078,1150,639,3063,2918,219,284,7761,0
91202,2010,10330,7165,19592,5549,8301,0,1817,1094,985,4116,2996,208,607,7466,0
91203,2010,6574,4670,12452,3688,5479,0,587,687,355,1807,1824,69,148,5057,0
91204,2010,6621,4660,13424,4444,5701,0,292,735,208,1187,1985,53,60,5359,0
91205,2010,15840,11156,30656,9609,13457,0,861,1666,672,3180,4275,171,166,12677,0
91206,2010,14644,10115,27696,7757,11894,0,2385,1632,1426,5460,4335,306,757,10779,0
91207,2010,4856,3492,9318,2473,3698,0,1342,484,703,2502,1470,146,603,3278,0
91208,2010,7551,5427,15260,4530,5790,0,2177,702,1151,4240,2488,311,892,5104,0
91210,2010,187,131,311,69,160,0,55,0,0,113,57,0,33,129,0
91214,2010,13490,9390,29272,9861,10635,0,2988,1314,1625,7094,4809,620,984,9619,0
91301,2010,12207,8540,25082,8200,9585,20,4170,1175,1523,7061,4094,548,1609,8173,0
91302,2010,11643,8803,23811,7771,8487,21,5211,981,1697,7010,4032,418,2518,7324,0
91303,2010,11421,8517,25258,9103,9684,0,700,1298,428,2521,3672,104,115,9379,0
91304,2010,21334,15306,45362,15599,17509,0,3239,2470,2016,7556,7446,537,786,16497,0
91306,2010,19697,14481,42327,14735,16358,0,1960,2500,1441,6879,6813,470,288,15743,0
91307,2010,11233,7659,23214,7411,8637,0,2940,1299,1634,6110,3929,521,944,7722,0
91311,2010,17422,11912,33660,9742,13756,23,3646,2144,2308,8376,5711,605,995,12716,0
91316,2010,13499,9776,24127,6105,10206,0,3500,1566,1800,6515,4026,415,1204,9292,0
91320,2010,20235,12632,45183,15196,16607,0,5704,1940,2586,11161,7276,764,2238,14540,0
91321,2010,14437,10359,32671,11374,11863,0,1969,1465,1556,5412,4575,399,552,11252,0
91324,2010,12126,8569,24258,7741,9520,0,1917,1264,1380,4704,3920,333,516,9190,0
91325,2010,14257,9777,27717,8658,11360,0,2482,1553,1523,5542,4730,390,681,10771,0
91326,2010,15113,10640,31685,9882,11769,0,4471,1515,2317,8727,5185,580,1682,10421,0
91331,2010,39358,32546,96456,40213,33539,0,879,5563,1350,8727,14573,499,159,34177,0
91335,2010,31576,23634,67181,23861,25970,0,2405,3826,1772,9813,10562,601,370,25274,0
91340,2010,13586,11278,33383,13665,11691,0,369,2087,501,3267,5388,201,76,11765,0
91342,2010,37681,29078,86609,33456,32354,0,2145,5306,2190,12827,14316,919,477,31740,0
91343,2010,23547,17793,52839,19782,19355,0,2013,2720,1658,7756,8113,531,411,19042,0
91344,2010,23529,16645,48592,15806,18753,0,4180,2689,2835,11115,8196,901,1133,17528,0
91345,2010,8050,6177,17394,6209,6657,0,492,1130,658,2937,2962,192,106,6511,0
91350,2010,14655,9708,31899,11241,12802,0,2272,1899,1232,8421,5650,656,788,11425,0
91351,2010,14602,9985,32764,11920,12818,0,1296,1858,998,6132,5392,449,343,11867,0
91352,2010,19422,15515,44288,17031,16260,0,941,2469,983,4973,6561,294,230,16152,0
91354,2010,12030,7939,27833,10330,10471,0,2554,1457,1022,7668,4788,451,1239,8924,0
91355,2010,14888,9559,29633,9107,12433,0,3288,1685,1796,8447,5247,676,1101,10919,0
91356,2010,13554,10040,25914,7592,10134,0,3887,1371,1885,6573,4225,422,1474,9339,0
91360,2010,19571,12272,40731,12570,15223,34,5073,1910,3194,9765,6552,764,1296,14084,0
91361,2010,10036,7131,19473,5422,7206,31,4258,834,2248,6045,3368,477,1741,6421,0
91362,2010,17414,11594,36812,11656,13685,31,6076,1681,2550,9837,5949,673,2485,11968,0
91364,2010,12858,9328,24411,6742,9451,0,4189,1496,1956,7300,4223,607,1557,8504,0
91367,2010,19424,13397,35800,9708,14961,23,5152,2117,2682,10167,6089,645,1536,13438,0
91377,2010,6533,4328,13635,4764,5381,0,2417,639,645,3943,2318,250,1052,4455,0
91381,2010,7980,5511,19283,7566,6873,0,1953,879,546,5013,3076,310,1301,5764,0
91384,2010,9652,6551,22338,8441,8584,0,1242,1293,653,5285,3727,373,571,7552,0
91387,2010,17410,11830,38958,14229,15343,0,2234,2228,1168,8070,6619,527,1011,13833,0
91390,2010,8107,5544,18205,6470,6897,38,1600,1008,785,4949,2948,349,799,6103,0
91401,2010,17651,12659,34116,10948,14104,0,2335,2262,1209,5497,5263,462,610,13499,0
91402,2010,25447,20570,60376,24217,21453,0,730,2876,812,5413,8780,237,158,21416,0
91403,2010,13298,9325,21994,4940,10350,0,3718,1686,1393,6544,3781,331,1542,9074,0
91405,2010,20668,15871,44556,16648,17096,0,1128,2451,803,4405,6314,234,176,16890,0
91406,2010,22311,16627,46203,16143,18321,0,1888,2851,1249,6833,7133,440,369,17706,0
91411,2010,10202,7123,20194,6746,8335,0,1108,1348,525,2871,3132,247,263,7949,0
91423,2010,16747,11369,27304,6174,13141,0,4236,2259,1698,7597,4501,395,1676,11456,0
91436,2010,8885,7266,17042,4767,6195,31,4350,618,1763,5878,3442,336,2208,5756,0
91501,2010,9541,6513,18201,5426,7854,0,1411,1176,795,3517,2847,186,417,7158,0
91502,2010,5338,3522,9738,3017,4591,0,410,697,205,1187,1518,37,100,4216,0
91504,2010,12078,8422,23487,7083,9704,0,1964,1457,1260,5042,3735,343,631,9090,0
91505,2010,16343,10884,28894,7747,13631,0,2573,2497,1508,7184,4770,425,733,12183,0
