ZIP,date,Adjusted gross income (AGI),Salaries and wages in AGI Amount,Net capital gain (less loss) in AGI Amount,Unemployment compensation Amount,Social Security benefits in AGI Amount,Real estate taxes Amount,Taxes paid Amount,Taxable income Amount,Total tax credits Amount,Residential energy credit Amount,Income tax Amount,Alternative minimum tax Amount,Overpayments refunded Amount,Additional Medicare tax Amount
90001,2010,492447,421322,545,17543,1929,6153,13008,166135,6202,77,15835,172,57777,0
90002,2010,438935,371484,201,14504,1980,6126,12329,151924,5784,121,14041,20,56378,0
90003,2010,581608,493325,313,18678,2715,6652,14024,192300,7291,113,17794,192,75872,0
90004,2010,1451721,932505,54008,21920,15451,23363,102991,914040,7768,233,204808,10008,74569,0
90005,2010,588052,392467,27870,9606,4266,7992,33585,341766,3423,55,65984,2818,30944,0
90006,2010,514937,426291,2072,13174,2714,3720,9975,203349,4621,67,24369,249,45029,0
90007,2010,306112,262042,633,8200,1702,2319,9657,136194,3308,70,16181,189,27869,0
90008,2010,624166,453529,3119,13689,14573,13794,37048,348064,4668,261,55029,1520,37809,0
90010,2010,257342,125526,20558,1210,2108,6939,24879,182897,1977,0,46064,2453,10455,0
90011,2010,808914,704646,587,23719,2098,7736,16371,236855,9490,108,21252,159,99441,0
90012,2010,381940,304592,4632,7766,4962,3987,17522,239330,2905,118,41548,957,19702,0
90013,2010,314831,169204,20682,3386,647,3101,18581,244294,1009,64,63619,5472,13770,0
90014,2010,178283,145302,6253,2991,600,2578,10662,118479,968,102,22068,529,8144,0
90015,2010,337093,251134,6440,5246,1012,5339,19977,205131,1845,30,42249,1476,19750,0
90016,2010,720302,582964,1216,19375,9931,12414,32371,357516,7038,250,47494,613,51996,0
90017,2010,365458,245249,24232,5114,1815,4855,22655,224648,2409,82,47237,2637,22045,0
90018,2010,604011,493430,2507,17172,7042,8842,22095,277900,6359,163,34320,427,49996,0
90019,2010,1154185,874964,11488,26099,14460,18478,60705,666369,7350,305,115926,3700,59750,0
90020,2010,891952,550078,37093,11374,5752,9604,54610,551858,5522,55,116124,4961,41086,0
90021,2010,88268,49773,10259,1142,397,1588,6462,61931,545,0,14212,577,4959,0
90022,2010,727428,611945,724,24448,5110,9505,24801,294735,8895,159,33710,153,67651,0
90023,2010,455639,393461,1696,13795,2509,3956,9980,169452,5572,85,17781,143,46613,0
90024,2010,3947462,1862389,447723,10157,44117,72329,381122,3075557,38495,302,850022,39566,128902,0
90025,2010,3146444,1988560,312458,22957,27698,54459,298828,2331787,28714,494,567634,32890,127748,0
90026,2010,1168286,950443,10142,33630,10642,15063,54230,687100,6976,361,112502,2865,62502,0
90027,2010,1402853,975569,38124,28694,18177,24453,98094,958127,6329,382,199745,9435,55035,0
90028,2010,503327,398832,6568,16877,2507,3506,20516,309152,2346,110,53302,1384,23634,0
90029,2010,498110,407731,1959,15275,4714,3843,15177,253134,3983,138,36373,770,33933,0
90031,2010,470287,392756,1226,15601,3660,5790,16042,223993,4812,177,29625,323,37446,0
90032,2010,640954,535943,2592,20213,7031,10264,26245,321852,6606,252,41483,365,44510,0
90033,2010,424024,353587,2370,13285,3125,3519,9976,168668,4836,122,20915,170,42015,0
90034,2010,1573712,1228420,41156,29763,17260,22703,87634,1051773,8758,368,192860,6581,62208,0
90035,2010,1098760,730176,41404,16035,18007,23109,86011,753736,4643,276,163637,9154,36867,0
90036,2010,1669785,1088837,49946,22828,18662,22771,127640,1188138,10900,222,267365,10246,54204,0
90037,2010,537099,453709,562,16536,3035,5856,15562,190617,6643,157,18860,80,62297,0
90038,2010,410077,341122,2613,12393,2526,3674,14797,225188,2581,82,36317,1004,25015,0
90039,2010,865757,657330,17425,18934,12736,17724,59843,562109,5121,309,104905,4255,34169,0
90040,2010,183399,146232,1881,6056,1967,2964,8256,89565,2876,68,11744,443,13875,0
90041,2010,688828,538144,3720,13989,12120,14866,43988,423448,4788,323,69636,1724,27328,0
90042,2010,1014290,837085,2389,28905,10956,18449,50865,555085,8363,342,80682,1460,59814,0
90043,2010,838678,638684,4353,19778,17620,20173,50541,445068,7264,462,64887,1493,52560,0
90044,2010,870076,718110,1036,25895,8972,12732,27445,333809,10706,254,34722,191,99204,0
90045,2010,1502726,1102022,35063,18491,28110,39020,124174,1024321,7255,554,207970,9912,47815,0
90046,2010,2014026,1416200,81247,39310,20768,37987,154873,1452310,6297,435,325221,14744,64747,0
90047,2010,778186,618665,699,19605,15285,15502,38033,376394,8509,331,46325,329,60508,0
