City,Date,Total
Acton,1/15/1994,1
Acton,9/14/2001,1
Acton,12/30/2008,2
Acton,8/16/2009,1
Acton,9/5/2012,1
Adelanto,8/1/1978,1
Adelanto,1/5/1998,1
Adelanto,2/16/1999,1
Adelanto,5/5/2001,1
Adelanto,11/8/2003,1
Adelanto,7/20/2004,1
Adelanto,7/28/2004,1
Adelanto,4/5/2005,1
Adelanto,1/17/2008,1
Adelanto,7/16/2008,1
Adelanto,3/31/2009,1
Agoura Hills,11/1/2004,1
Agoura Hills,2/9/2005,1
Agoura Hills,3/14/2006,1
Agoura Hills,9/11/2007,1
Agoura Hills,6/22/2008,1
Agoura Hills,10/5/2012,1
Agua Dulce,7/4/2004,1
Agua Dulce,12/22/2005,1
Agua Dulce,6/3/2006,1
Agua Dulce,7/28/2006,1
Agua Dulce,3/29/2008,1
Agua Dulce,5/14/2008,1
Agua Dulce,4/25/2014,1
Alameda,6/1/1979,1
Alameda,4/10/1980,1
Alameda,11/16/1999,1
Alameda,10/5/2002,1
Alameda,12/15/2003,1
Alameda,10/6/2004,1
Alameda,8/12/2007,1
Alameda,7/11/2010,1
Alameda,9/3/2010,1
Alameda,5/8/2012,1
Alameda,5/20/2012,1
Alameda,6/3/2012,1
Alameda,9/26/2013,1
Alameda,1/27/2014,1
Alhambra,11/17/2000,1
Alhambra,10/4/2002,1
Alpine,6/27/2013,1
Alta,8/11/1987,1
Alta,7/25/1997,1
Alta Loma,12/24/2007,1
Altadena,8/11/2003,1
Altadena,8/31/2003,1
Altadena,7/4/2005,1
Altadena,4/1/2012,1
Alturas,1/15/1997,1
Alturas,9/1/1999,2
Alturas,3/7/2005,2
Alturas,8/29/2006,1
Alturas,11/3/2010,1
Amador City,4/29/2006,1
Amador City,7/20/2007,1
American Canyon,11/14/1995,1
Anaheim,6/30/1963,1
Anaheim,3/20/1972,1
Anaheim,11/19/1988,2
Anaheim,1/1/1995,1
Anaheim,3/5/1995,1
Anaheim,8/23/1995,1
Anaheim,5/19/1999,1
Anaheim,5/24/1999,1
Anaheim,8/23/1999,1
Anaheim,11/24/1999,1
Anaheim,1/2/2000,1
Anaheim,11/28/2001,1
Anaheim,12/4/2001,1
Anaheim,2/18/2002,1
Anaheim,7/20/2002,1
Anaheim,5/13/2003,1
Anaheim,6/18/2003,1
Anaheim,12/23/2003,1
Anaheim,12/31/2003,1
Anaheim,3/1/2004,1
Anaheim,5/8/2004,1
Anaheim,12/16/2004,1
Anaheim,11/28/2006,1
Anaheim,4/13/2007,1
Anaheim,1/26/2008,2
Anaheim,11/14/2008,1
Anaheim,1/16/2009,1
Anaheim,1/18/2009,1
Anaheim,1/31/2009,1
Anaheim,2/18/2009,1
Anaheim,4/25/2009,1
Anaheim,4/30/2009,1
Anaheim,9/20/2009,1
Anaheim,10/30/2009,1
Anaheim,12/24/2009,1
Anaheim,3/10/2010,1
Anaheim,6/2/2010,1
Anaheim,6/3/2010,1
Anaheim,8/8/2010,1
Anaheim,11/28/2010,1
Anaheim,12/26/2010,1
Anaheim,6/16/2011,1
Anaheim,7/23/2011,1
Anaheim,11/3/2011,1
Anaheim,2/14/2012,1
Anaheim,6/22/2012,1
Anaheim,9/11/2012,1
Anaheim,9/26/2012,1
