City,UFO_type,Reports,latest_report_date
Acton,triangle,2,12/30/08
Acton,disk,1,9/5/12
Acton,fireball,1,8/16/09
Acton,light,1,9/14/01
Acton,unknown,1,1/15/94
Adelanto,circle,3,7/16/08
Adelanto,changing,2,4/5/05
Adelanto,other,2,11/8/03
Adelanto,fireball,1,5/5/01
Adelanto,formation,1,3/31/09
Adelanto,oval,1,8/1/78
Adelanto,triangle,1,1/17/08
Agoura Hills,light,2,6/22/08
Agoura Hills,disk,1,9/11/07
Agoura Hills,fireball,1,10/5/12
Agoura Hills,formation,1,3/14/06
Agoura Hills,sphere,1,2/9/05
Agua Dulce,disk,2,3/29/08
Agua Dulce,chevron,1,7/28/06
Agua Dulce,circle,1,6/3/06
Agua Dulce,egg,1,12/22/05
Agua Dulce,oval,1,4/25/14
Agua Dulce,unknown,1,5/14/08
Alameda,light,3,8/12/07
Alameda,circle,2,9/3/10
Alameda,fireball,2,5/8/12
Alameda,unknown,2,9/26/13
Alameda,chevron,1,11/16/99
Alameda,cigar,1,5/20/12
Alameda,diamond,1,1/27/14
Alameda,disk,1,6/1/79
Alameda,formation,1,6/3/12
Alhambra,other,1,11/17/00
Alhambra,triangle,1,10/4/02
Alpine,other,1,6/27/13
Alta,fireball,1,7/25/97
Alta,unknown,1,8/11/87
Alta Loma,circle,1,12/24/07
Altadena,light,1,7/4/05
Altadena,other,1,8/31/03
Altadena,oval,1,4/1/12
Altadena,triangle,1,8/11/03
Alturas,triangle,2,3/7/05
Alturas,disk,1,1/15/97
Alturas,fireball,1,11/3/10
Alturas,formation,1,9/1/99
Alturas,light,1,8/29/06
Alturas,unknown,1,9/1/99
Amador City,circle,1,4/29/06
Amador City,triangle,1,7/20/07
American Canyon,unknown,1,11/14/95
Anaheim,light,8,7/12/13
Anaheim,disk,7,6/16/11
Anaheim,fireball,6,5/4/14
Anaheim,triangle,6,7/23/11
Anaheim,sphere,5,3/12/14
Anaheim,circle,4,6/22/12
Anaheim,unknown,4,1/1/13
Anaheim,oval,3,1/18/09
Anaheim,cylinder,2,5/13/03
Anaheim,diamond,2,10/30/09
Anaheim,formation,2,12/24/09
Anaheim,other,2,5/8/04
Anaheim,changing,1,3/1/04
Anaheim,cigar,1,11/28/06
Anaheim,cross,1,8/8/10
Anaheim,rectangle,1,8/23/99
Anaheim,teardrop,1,7/20/02
Anaheim Hills,light,3,5/30/05
Anaheim Hills,teardrop,1,7/14/01
Anderson,disk,1,1/1/12
Angels,light,2,9/28/05
Angels,changing,1,2/28/09
Angels,chevron,1,6/30/91
Angels,circle,1,9/10/03
Angels,disk,1,7/1/06
Angels,flash,1,6/18/06
Angels,sphere,1,6/15/05
Angels,triangle,1,6/15/96
Angels Camp,light,1,6/1/95
Angels Camp,sphere,1,11/16/05
Angelus Oaks,triangle,1,11/25/06
Angwin,disk,1,10/8/04
Antelope,other,1,10/7/10
Antelope,rectangle,1,11/20/08
Antelope,unknown,1,10/28/95
Antioch,fireball,12,3/28/13
Antioch,light,12,11/8/13
Antioch,circle,7,12/2/13
Antioch,disk,3,6/17/06
Antioch,other,3,1/1/10
Antioch,sphere,2,4/20/13
Antioch,unknown,2,11/8/05
Antioch,cigar,1,7/9/10
Antioch,diamond,1,9/18/10
Antioch,egg,1,4/7/01
Antioch,flash,1,8/8/04
Antioch,formation,1,1/29/02
Antioch,triangle,1,3/27/07
Anza,circle,1,7/30/98
Anza,light,1,3/16/00
Anza,other,1,7/16/12
Apline,other,1,8/14/11
Aptos,changing,1,9/12/12
Aptos,disk,1,10/5/13
Aptos,fireball,1,11/24/00
Aptos,formation,1,5/18/02
Aptos,light,1,9/17/09
Aptos,sphere,1,8/18/12
Arbuckle,disk,1,1/12/05
Arbuckle,fireball,1,10/9/06
Arbuckle,light,1,1/11/05
Arcadia,light,5,12/29/11
Arcadia,unknown,2,7/4/99
Arcadia,cylinder,1,4/12/09
Arcadia,disk,1,10/31/01
Arcadia,fireball,1,5/6/01
Arcadia,rectangle,1,7/1/88
Arcadia,sphere,1,11/7/08
Arcata,light,5,5/30/12
Arcata,unknown,4,8/3/11
Arcata,formation,3,9/9/12
Arcata,other,3,6/8/08
Arcata,flash,1,6/2/11
Arcata,rectangle,1,7/9/11
Arcata,triangle,1,7/4/11
Arnold,sphere,1,1/22/80
Arroyo Grande,light,6,3/19/14
Arroyo Grande,triangle,2,12/11/12
Arroyo Grande,changing,1,11/2/02
Arroyo Grande,disk,1,3/27/98
Arroyo Grande,other,1,11/16/00
Ashland,circle,6,9/18/11
Ashland,light,6,5/19/11
Ashland,oval,4,1/28/14
Ashland,sphere,4,2/10/13
Ashland,egg,3,3/29/04
Ashland,triangle,3,8/29/09
Ashland,diamond,2,1/27/12
Ashland,fireball,2,3/19/02
Ashland,other,2,6/8/12
Ashland,unknown,2,6/13/02
Ashland,changing,1,5/22/13
Ashland,cigar,1,3/17/07
Ashland,disk,1,4/15/86
Atascadero,cylinder,3,4/18/12
Atascadero,circle,2,12/18/12
Atascadero,light,2,6/5/08
Atascadero,sphere,2,11/6/02
Atwater,other,1,11/9/06
Auberry,light,2,11/30/04
Auberry,fireball,1,1/17/12
Auburn,sphere,4,12/31/11
Auburn,circle,3,12/31/13
Auburn,fireball,3,8/18/00
Auburn,triangle,3,9/17/09
Auburn,light,2,7/19/12
Auburn,other,2,7/26/13
Auburn,chevron,1,10/30/02
Auburn,formation,1,1/4/14
Auburn,unknown,1,8/11/78
Avalon,triangle,3,11/19/03
Avalon,light,2,12/11/11
Avalon,circle,1,6/22/09
Avalon,flash,1,6/19/92
Avalon,formation,1,7/23/02
Avalon,oval,1,3/1/04
Avalon,teardrop,1,7/23/01
Avery,light,3,8/27/05
Avery,unknown,1,6/1/95
Avila Beach,cigar,1,2/1/02
Avila Beach,diamond,1,12/2/06
Azusa,light,6,1/19/10
Azusa,circle,2,11/28/13
Azusa,disk,2,1/17/08
Azusa,sphere,2,9/27/09
Azusa,triangle,2,12/31/12
Azusa,unknown,2,3/30/13
Azusa,egg,1,7/22/06
Azusa,fireball,1,8/12/07
Azusa,flash,1,3/6/09
Azusa,other,1,9/19/02
Baker,light,3,4/24/09
Baker,cigar,2,7/1/00
Baker,fireball,1,6/23/13
Baker,oval,1,9/6/99
Baker,rectangle,1,12/15/08
Baker,triangle,1,6/24/05
Bakersfield,light,17,1/1/14
Bakersfield,unknown,17,11/9/12
Bakersfield,circle,10,11/9/12
Bakersfield,triangle,9,2/19/14
Bakersfield,other,7,3/26/12
Bakersfield,changing,5,8/24/08
Bakersfield,disk,5,9/22/05
Bakersfield,sphere,5,1/1/12
Bakersfield,fireball,3,8/24/11
Bakersfield,cigar,2,6/3/13
Bakersfield,cylinder,2,10/4/12
Bakersfield,diamond,2,5/1/08
Bakersfield,chevron,1,4/15/10
Bakersfield,cone,1,2/4/01
Bakersfield,cross,1,5/17/00
Bakersfield,flash,1,3/27/10
Bakersfield,formation,1,1/16/09
Bakersfield,oval,1,3/21/09
Bakersfield,rectangle,1,8/10/08
Balboa Island,circle,1,2/23/14
Baldwin Park,light,1,11/25/09
Barstow,light,5,7/26/10
Barstow,other,3,4/12/14
Barstow,circle,2,6/11/05
Barstow,fireball,2,11/15/05
Barstow,oval,2,6/16/09
Barstow,rectangle,2,6/13/03
Barstow,changing,1,8/20/99
Barstow,cigar,1,7/6/00
Barstow,diamond,1,8/29/03
Barstow,sphere,1,8/5/12
Barstow,unknown,1,1/15/04
Bass Lake,disk,1,8/15/91
Bass Lake,fireball,1,3/4/99
Bass Lake,triangle,1,8/9/07
Bass Lake,unknown,1,9/17/02
Beale Afb,circle,1,11/6/04
Bell,circle,1,5/29/10
Bell,egg,1,7/31/13
Bell,light,1,2/12/04
Bell Canyon,light,1,8/30/10
Bell Gardens,sphere,1,11/16/02
Bella Vista,unknown,2,5/9/11
Bella Vista,changing,1,3/27/00
Bella Vista,light,1,9/8/99
Bella Vista,other,1,6/1/93
Bellflower,fireball,4,2/19/04
Bellflower,light,4,1/15/08
Bellflower,sphere,2,11/10/12
Bellflower,triangle,2,2/5/12
Bellflower,unknown,2,5/15/96
Bellflower,cone,1,5/31/08
Bellflower,egg,1,9/22/04
Bellflower,formation,1,1/22/07
Bellflower,other,1,11/28/01
Belmont,light,1,11/3/98
Belmont,unknown,1,11/3/95
Benicia,fireball,3,3/20/06
Benicia,changing,2,1/20/09
Benicia,cylinder,1,3/9/13
Benicia,formation,1,6/1/04
Benicia,other,1,11/19/00
Benicia,triangle,1,2/25/08
Berkeley,oval,5,5/5/12
Berkeley,unknown,5,7/3/13
Berkeley,cigar,4,12/14/11
Berkeley,chevron,3,3/16/07
Berkeley,fireball,3,1/1/13
Berkeley,light,3,1/2/14
Berkeley,sphere,3,2/7/09
Berkeley,circle,2,5/2/10
Berkeley,disk,2,1/18/09
Berkeley,diamond,1,11/14/12
Berkeley,formation,1,3/25/09
Berkeley,other,1,11/25/09
Berkeley,rectangle,1,4/1/79
Berkeley,triangle,1,11/2/10
Berry Creek,cigar,1,7/15/10
Berry Creek,light,1,9/4/05
Beverly Hills,light,1,10/28/12
Beverly Hills,sphere,1,11/18/08
Big Bear City,cigar,1,8/1/99
Big Bear City,disk,1,5/1/78
Big Bear City,triangle,1,7/17/94
Big Bear Lake,light,4,6/23/13
Big Bear Lake,other,2,8/12/12
Big Bear Lake,cigar,1,2/4/03
Big Bear Lake,oval,1,4/14/97
Big Bear Lake,triangle,1,12/5/01
Big Pine,disk,1,7/4/01
Big Pine,light,1,8/10/98
Big Pine,other,1,7/10/00
Big Pine,unknown,1,2/1/96
Big River,circle,1,5/3/08
Big River,formation,1,2/4/09
Big River,triangle,1,5/15/05
Big Sur,unknown,3,1/4/12
Big Sur,diamond,2,9/7/05
Big Sur,cigar,1,8/1/98
Big Sur,fireball,1,9/12/01
Big Sur,formation,1,8/7/11
Big Sur,sphere,1,10/28/11
Big Sur,triangle,1,3/25/79
Biola,cigar,1,8/15/69
Biola,light,1,6/14/07
Biola,triangle,1,7/21/06
Bishop,light,4,3/23/12
Bishop,disk,2,4/20/11
Bishop,other,2,12/1/11
Bishop,sphere,2,5/21/12
Bishop,unknown,2,4/25/96
Bishop,fireball,1,9/27/98
Bishop,oval,1,3/29/12
Bishop,rectangle,1,8/21/98
Bishop,triangle,1,8/1/96
Blackhawk,circle,2,7/23/06
Blackhawk,disk,2,9/18/12
Blackhawk,fireball,1,9/12/98
Blackhawk,light,1,7/10/05
Blackhawk,unknown,1,2/18/14
Bloomington,light,1,11/4/06
Bloomington,oval,1,12/11/00
Bloomington,unknown,1,12/16/11
Blythe,sphere,3,7/10/13
Blythe,diamond,1,11/1/00
Blythe,disk,1,3/8/07
Blythe,fireball,1,3/23/01
Blythe,formation,1,6/1/88
Blythe,light,1,4/16/14
Blythe,other,1,1/3/99
Blythe,oval,1,9/8/11
Blythe,triangle,1,2/24/14
Bodega Bay,sphere,2,1/3/13
Bodega Bay,cigar,1,9/17/07
Bodega Bay,disk,1,7/15/69
Bonita,light,1,1/1/10
Bonny Doon,triangle,4,2/6/11
Bonny Doon,chevron,2,6/4/07
Bonny Doon,cone,1,9/19/02
Bonny Doon,disk,1,4/28/10
Bonny Doon,fireball,1,9/12/13
Bonny Doon,light,1,7/30/09
Bonny Doon,other,1,12/4/11
Bonsall,formation,1,11/6/13
Bonsall,triangle,1,4/7/14
Boonville,formation,1,10/28/06
Boonville,unknown,1,9/8/12
Borrego Springs,disk,2,3/20/13
Borrego Springs,sphere,2,12/26/13
Borrego Springs,triangle,2,10/26/05
Borrego Springs,light,1,12/10/11
Borrego Springs,other,1,2/6/14
Borrego Springs,oval,1,6/21/07
Borrego Springs,rectangle,1,5/25/13
Borrego Springs,unknown,1,3/31/05
Boulder Creek,other,2,1/6/07
Boulder Creek,cigar,1,4/1/71
Boulder Creek,rectangle,1,4/3/11
Boulder Creek,unknown,1,3/17/95
Bradley,light,1,10/29/07
Brawley,triangle,2,2/26/13
Brawley,changing,1,12/1/08
Brawley,circle,1,12/31/06
Brawley,light,1,6/5/91
Brawley,unknown,1,5/23/95
Brea,light,3,2/11/11
Brea,oval,3,9/4/11
Brea,formation,2,6/20/04
Brea,other,2,12/11/13
Brea,circle,1,5/13/01
Brea,disk,1,9/16/02
Brea,unknown,1,7/15/75
Brentwood,light,4,1/9/11
Brentwood,chevron,2,4/7/08
Brentwood,fireball,2,4/16/07
Brentwood,formation,2,8/21/11
Brentwood,circle,1,4/24/07
Brentwood,disk,1,2/3/14
Brentwood,other,1,4/7/08
Brentwood,oval,1,8/13/08
Brentwood,rectangle,1,1/1/05
Bridgeport,sphere,1,11/23/05
Bridgeville,light,1,1/12/09
Buena Park,light,4,5/15/11
Buena Park,fireball,3,11/3/12
Buena Park,changing,2,1/18/09
Buena Park,disk,1,12/31/02
Buena Park,formation,1,10/28/06
Buena Park,oval,1,10/8/05
Buena Park,unknown,1,9/30/10
Burbank,light,22,12/21/13
Burbank,fireball,13,10/9/12
Burbank,unknown,10,12/25/07
Burbank,formation,6,9/29/11
Burbank,sphere,6,1/1/14
Burbank,changing,5,9/16/13
Burbank,disk,5,1/9/13
